numero,titulo_atual,produto,tipo_proposto,pai_proposto,prioridade,fase,status,labels,acao,justificativa
777,"Task - Downloads e desinstalacoes reais no card Google Play",SignallQ Admin,História de Usuário,"Feature Dados operacionais do Console",Média,Estruturante,Bloqueada,"Dados; Play Store",reclassificar,"Depende de configuração GCS pelo Luiz"
787,"Task - Unificar session_id entre ai_usage e analytics_events (custo por funcionalidade de IA)",Plataforma Compartilhada,História de Usuário,"Feature Dados operacionais do Console",Média,Estruturante,Bloqueada,"Dados; Diagnóstico",reclassificar,"Depende da emissão Android #919 e de dado real"
865,"Feat - Implementar leitor de producao GponStatus/parser TP-Link -> LocalNetworkDeviceSnapshot",SignallQ,História de Usuário,"#547 Inventário local de equipamento",Crítica,Fase 2,Em validação,"Dispositivos; Fibra",reclassificar,"Liga UI pronta ao runtime de leitura real"
885,"Feat - D1/Worker/Console: diferenciar telemetria do NetHAL Lab (app irmão) da do SignallQ",Plataforma Compartilhada,História de Usuário,"Feature Dados operacionais do Console",Alta,Estruturante,Backlog,"Dados; Console",reclassificar,"Fronteira de telemetria compartilhada"
907,"[SPIKE] Validar Wi-Fi Signal Walk com PDR e RSSI",Plataforma Compartilhada,História de Usuário,"Feature Jornada de diagnóstico Consumer",Média,Fase 2,Backlog,"Wi-Fi; Diagnóstico",reclassificar,"Avaliação compartilhável Consumer/Pro"
942,"Task - CI: checks obrigatorias (Detekt/Ktlint/Unit Tests) nao disparam em PR docs-only, bloqueando merge",Plataforma Compartilhada,Tarefa,"Feature Qualidade de plataforma",Alta,Estruturante,Backlog,"Qualidade",reclassificar,"Afeta todos os produtos"
951,"[Feature][Futuro] Diretório remoto de provedores com canais oficiais e atualização automática",Plataforma Compartilhada,Feature,"Épico Plataforma de dados e Console",Média,Estruturante,Backlog,"Operadoras; Dados",reclassificar,"Feature futura; #1061 é fase filha"
952,"[Feature][Futuro] Motor de diagnóstico remoto no Cloudflare com fallback local versionado",Plataforma Compartilhada,Feature,"Épico Motor canônico de diagnóstico",Média,Estruturante,Backlog,"Diagnóstico",reclassificar,"#1060 é fase filha; preservar fallback local"
975,"Feat - Unificar identificação de topologia Wi-Fi e tipos de dispositivo",Plataforma Compartilhada,História de Usuário,"Feature Jornada de diagnóstico Consumer",Média,Estruturante,Backlog,"Wi-Fi; Dispositivos",reclassificar,"Compartilhável Consumer/Pro"
1007,"Task - Atualizar docs_ai/ com referencias a Felipe/Gema como squad ativo (obsoleto)",Plataforma Compartilhada,Tarefa,"Feature Qualidade de plataforma",Média,Estruturante,Backlog,"Documentação",validar-antes-de-fechar,"Pode já estar resolvida; requer diff"
1015,"Task - Subsetar a fonte Material Symbols Outlined depois da migracao de icones (Fase 2)",SignallQ,Tarefa,"Feature Qualidade técnica e design Consumer",Média,Fase 2,Backlog,"Design",validar-antes-de-fechar,"Depende de evidência da migração de ícones"
1023,"Task - HomeScreen.kt (3938 linhas) fora da lista de dividas conhecidas — considerar extracao",SignallQ,Tarefa,"Feature Qualidade técnica e design Consumer",Média,Estruturante,Backlog,"Arquitetura; Design",reclassificar,"Dívida localizada que exige plano incremental"
1036,"Task - Rodar Migration13Para14Test em device real antes do proximo release + avaliar connectedAndroidTest no CI",SignallQ,Tarefa,"Feature QA de release",Alta,Lançamento,Bloqueada,"Qualidade; Dados",reclassificar,"Validação em device real pendente"
1058,"Task - Consolidar MeshDetector/TopologyDiagnostic no motor unico de topologia",Plataforma Compartilhada,Tarefa,"#975 Topologia Wi-Fi",Baixa,Estruturante,Backlog,"Arquitetura; Wi-Fi",reclassificar,"Continuidade de consolidação técnica"
1060,"Task - Motor de diagnóstico remoto Fase 0: contrato, inventário e schema D1-only",Plataforma Compartilhada,História de Usuário,"#952 Motor de diagnóstico remoto",Média,Estruturante,Backlog,"Diagnóstico; Dados",reclassificar,"Fase inicial explícita"
1061,"Task - Diretório de provedores Fase 1: schema D1 e leitura por ASN (sem R2/Cron/Queue)",Plataforma Compartilhada,História de Usuário,"#951 Diretório remoto de provedores",Média,Estruturante,Backlog,"Operadoras; Dados",reclassificar,"Fase inicial explícita"
1117,"Task - Modelar RSSI e clientes por radio Wi-Fi do proprio equipamento",Plataforma Compartilhada,História de Usuário,"#547 Inventário local de equipamento",Média,Estruturante,Backlog,"Wi-Fi; Dispositivos",reclassificar,"Contexto compartilhável Consumer/Pro"
1119,"[Roadmap][SignallQ Pro] MVP 0 — Validação interna",SignallQ PRO,Épico,,Alta,Fase 1,Em validação,"Legado",reclassificar,"MVP0 já possui histórico de execução fechado"
1120,"[Roadmap][SignallQ Pro] MVP 1 — Produto vendável",SignallQ PRO,Épico,,Média,Fase 1,Backlog,"Legado",reclassificar,"Escopo futuro exige aprovação explícita"
1121,"[Roadmap][SignallQ Pro] MVP 1.1 — Retenção e monetização",SignallQ PRO,Épico,,Baixa,Fase 2,Backlog,"Legado",reclassificar,"Roadmap futuro sem data"
1122,"[Roadmap][SignallQ Pro] MVP 2 — Operação profissional",SignallQ PRO,Épico,,Baixa,Fase 2,Backlog,"Legado",reclassificar,"Roadmap futuro sem data"
1123,"[Roadmap][SignallQ Pro] MVP 3 — Escala e diferenciação",SignallQ PRO,Épico,,Baixa,Fase 2,Backlog,"Legado",reclassificar,"Roadmap futuro sem data"
1124,"[Roadmap] SignallQ Platform — Evolução do SignallQ Pro",Plataforma Compartilhada,Épico,,Média,Estruturante,Backlog,"Arquitetura",reclassificar,"Iniciativa transversal; não confundir com produto Pro"
1137,"Task - Retokenizar 4 componentes do Console (cores Tailwind hardcoded quebram dark/light)",SignallQ Admin,Tarefa,"Feature Qualidade de plataforma",Média,Fase 2,Backlog,"Design; Console",consolidar,"Relacionar a #1171 sem duplicar execução"
1147,"Feat - Site institucional do SignallQ (signallq.pages.dev)","Decisão pendente: SignallQ Site",Feature,"Épico Presença digital do SignallQ",Média,Fase 1,Em andamento,"Site",aguardar-decisao-produto,"Não classificar como Consumer"
1148,"Task - Setup do projeto site institucional", "Decisão pendente: SignallQ Site",História de Usuário,"#1147 Site institucional",Alta,Fase 1,Em validação,"Site",reclassificar,"Fundação existe; issue continua aberta e requer confirmação"
1149,"Task - Home institucional do site com CTA de download do app","Decisão pendente: SignallQ Site",História de Usuário,"#1147 Site institucional",Média,Fase 1,Em validação,"Site",reclassificar,"Entrega aparente; issue continua aberta e requer confirmação"
1150,"Task - Speedtest web","Decisão pendente: SignallQ Site",História de Usuário,"#1147 Site institucional",Média,Fase 1,Em validação,"Site; Velocidade",reclassificar,"Entrega aparente; issue continua aberta e requer confirmação"
1151,"Task - Histórico local do Speedtest","Decisão pendente: SignallQ Site",História de Usuário,"#1147 Site institucional",Média,Fase 1,Em validação,"Site; Histórico",reclassificar,"Entrega aparente; issue continua aberta e requer confirmação"
1152,"Task - Página Quem Somos","Decisão pendente: SignallQ Site",História de Usuário,"#1147 Site institucional",Baixa,Fase 1,Em validação,"Site",reclassificar,"Entrega aparente; issue continua aberta e requer confirmação"
1153,"Task - Páginas Privacidade e Termos","Decisão pendente: SignallQ Site",História de Usuário,"#1147 Site institucional",Alta,Fase 1,Em validação,"Site; Privacidade",reclassificar,"Entrega aparente; issue continua aberta e requer confirmação"
1154,"Task - Slots reservados para AdSense","Decisão pendente: SignallQ Site",Tarefa,"#1147 Site institucional",Baixa,Fase 2,Backlog,"Site",reclassificar,"Sem ativação"
1155,"Task - Telemetria do site","Decisão pendente: SignallQ Site",História de Usuário,"#1147 Site institucional",Média,Fase 1,Concluída,"Site; Dados",reclassificar,"Entrega de site"
1158,"[Arquitetura][Tech] Preparar identidade, Firebase, Play Console, telemetria e CI/CD próprios do SignallQ PRO",SignallQ PRO,Feature,"#1119 MVP0",Alta,Fase 1,Em validação,"Arquitetura",reclassificar,"Base de produto própria"
1160,"Protótipo Pro hoje só tem telas até 3.7",SignallQ PRO,História de Usuário,"#1119 MVP0",Alta,Fase 1,Backlog,"Design",reclassificar,"Gap real de protótipo"
1163,"Task - SignallQ Pro: Walk Test e teste instrumentado Room",SignallQ PRO,Tarefa,"#1119 MVP0",Média,Fase 1,Backlog,"Qualidade; Wi-Fi",reclassificar,"Escopo verificável"
1168,"Task - SignallQ Pro: VisitaRepository.criarVisita nao e atomico",SignallQ PRO,Bug,"#1119 MVP0",Média,Fase 1,Backlog,"Arquitetura",reclassificar,"Integridade transacional"
1169,"Task - Aplicar Design System consolidado no código real do app consumer",SignallQ,Feature,"Épico Experiência e consistência do Consumer",Média,Fase 2,Backlog,"Design",reclassificar,"Feature guarda-chuva de DS"
1171,"Task - Aplicar Design System consolidado no código real do SignallQ Admin",SignallQ Admin,Feature,"Épico Plataforma de dados e Console",Média,Fase 2,Backlog,"Design; Console",reclassificar,"Feature guarda-chuva de DS Admin"
1172,"Task - Atualizar hex de marca remanescente",SignallQ,Tarefa,"#1169 Design System Consumer",Média,Fase 2,Backlog,"Documentação; Design",reclassificar,"Correção pontual de fonte de verdade"
1182,"[BUG] Consumer: mesma classe de bug de permissão do #1179 em MainActivity.kt",SignallQ,Bug,"Feature Jornada de diagnóstico Consumer",Alta,Fase 1,Em validação,"Permissões",reclassificar,"Bug direto do Consumer"
1183,"Task - Pro: mover rotuloTipoVisita para core database",SignallQ PRO,Tarefa,"#1119 MVP0",Baixa,Estruturante,Backlog,"Arquitetura",reclassificar,"Eliminar duplicação em módulo compartilhado"
1196,"Task - Pente fino de auditoria de design (12 lotes)",SignallQ,Feature,"Épico Experiência e consistência do Consumer",Média,Fase 2,Backlog,"Design",dividir,"12 lotes precisam de tarefas filhas"
1213,"[Bug][Equipamento de internet] Corrigir driver e sessão Nokia",SignallQ,Bug,"#547 Inventário local de equipamento",Crítica,Fase 2,Em validação,"Dispositivos; Fibra",dividir,"Escopo combina cinco problemas"
1216,"[Feature][NetHAL] Integrar TP-Link Archer C6",SignallQ,História de Usuário,"Feature Suporte a roteadores adicionais",Média,Fase 2,Bloqueada,"Dispositivos",reclassificar,"Bloqueada por nethal#125"
1217,"[Bug][Dispositivos] Corrigir identidade e limites da varredura LAN",SignallQ,Bug,"Feature Jornada de diagnóstico Consumer",Crítica,Fase 2,Em validação,"Dispositivos; Diagnóstico",dividir,"Escopo arquitetural de identidade/confiança"
1222,"[Release] SignallQ — versão candidata e lançamento público",SignallQ,História de Usuário,"Épico Confiabilidade e lançamento do SignallQ",Alta,Lançamento,Bloqueada,"Play Store",atualizar-titulo-e-campos,"Comentário fixa lançamento em 21/08"
1223,"[Bug][Início] Corrigir mistura de medições e estados",SignallQ,Bug,"#1228 Motor canônico de diagnóstico",Crítica,Fase 1,Backlog,"Diagnóstico; Histórico",dividir,"P0 não deve aguardar épico inteiro"
1224,"[Bug][Ads] Remote Config desliga anúncios",SignallQ,Bug,"#1229 Controles remotos",Alta,Fase 1,Em validação,"Diagnóstico",reclassificar,"Correção isolada já implementada, aguarda QA"
1226,"[Bug][Operadoras] Corrigir contatos e identificação",SignallQ,Bug,"#951 Diretório remoto de provedores",Alta,Fase 1,Em validação,"Operadoras; Diagnóstico",dividir,"Modelo, ações e estados são independentes"
1227,"[Bug][Ajustes] Corrigir configurações e privacidade",SignallQ,Bug,"#1228 Motor canônico de diagnóstico",Crítica,Fase 1,Backlog,"Privacidade; Permissões",dividir,"Cinco domínios distintos"
1228,"[Arquitetura][Motor Canônico] Centralizar métricas e contexto",Plataforma Compartilhada,Épico,,Crítica,Estruturante,Backlog,"Arquitetura; Diagnóstico",dividir,"Iniciativa sistêmica Consumer/Pro"
1229,"[Arquitetura][Feature Flags] Criar controle remoto centralizado",Plataforma Compartilhada,Feature,"#1228 Motor canônico de diagnóstico",Média,Estruturante,Backlog,"Arquitetura",reclassificar,"Feature compartilhada Consumer/Pro"
1234,"[Medição][Bug] Persistir contexto Wi-Fi e rastreabilidade",SignallQ PRO,Bug,"#1228 Motor canônico de diagnóstico",Alta,Estruturante,Backlog,"Wi-Fi; Diagnóstico",reclassificar,"Contrato compartilhável e bloqueado por #1228"
